Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,Special move 2,DPS,LL Rank (min),LL Rank (max),GL Evo,GL Rank (min),GL Rank (max),UL Evo,UL Rank (min),UL Rank (max),Box,Custom1,Custom2,Saved,Egg,Lucky?,BuddyBoosted,Form,ShadowForm,MultiForm?,Height (cm),Catch Date
0,5/29/23 15:58:53,3,Venusaur Shadow,-,♀,>$08₅₆⑦♀,8.0,8.0,572,72,960,55.6,55.6,55.6,7.0,14.0,4.0,1, - , - , - ,0.0, - , - ,Venusaur,1084,1084,Venusaur,2034,2034,Shadow,,,1,0,0,0,587,2,0,202,2022-02-06
0,5/29/23 15:58:55,4,Charmander Purified,-,♂,%㉓25₉₆⑬♂,25.0,25.0,689,88,3600,95.6,95.6,95.6,13.0,15.0,15.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,779,779,3 Stars,,,1,0,0,0,590,4,0,?,2023-?-?
0,5/29/23 15:59:05,4,Charmander Shadow,-,♂,>$13₈₉⑪♂,13.0,13.0,351,63,1920,88.9,88.9,88.9,11.0,15.0,14.0,1, - , - , - ,0.0, - , - ,Charizard,392,392,Charizard,806,806,Shadow,,,1,0,0,0,590,2,0,?,2023-?-?
0,5/29/23 15:59:07,4,Charmander,-,♀,¥152E₅₃♀,14.0,14.0,339,65,1600,53.3,53.3,53.3,1.0,10.0,13.0,1, - , - , - ,0.0, - , - ,Charizard,152,152,Charizard,33,33,Great League,,,1,0,0,0,590,1,0,?,?
0,5/29/23 15:59:11,4,Charmander,-,♂,^_11₅₈⓯③⑧♂,11.0,11.0,282,55,1300,57.8,57.8,57.8,15.0,3.0,8.0,1, - , - , - ,0.0, - , - ,Charizard,3332,3332,Charizard,3685,3685,Default,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:14,4,Charmander,-,♂,%㉓08₉₆⓯♂,8.0,8.0,219,49,800,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Charizard,2596,2596,Charizard,2538,2538,3 Stars,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:18,4,Charmander Shadow,-,♂,£95E₆₂♂,8.0,8.0,197,48,960,62.2,62.2,62.2,4.0,12.0,12.0,1, - , - , - ,0.0, - , - ,Charizard,1020,1020,Charizard,95,95,Ultra League,,,1,0,0,0,590,2,0,?,2022-10-18
0,5/29/23 15:59:20,4,Charmander,-,♂,^_25₈₉⑫⑭⑭♂,25.0,25.0,678,88,4000,88.9,88.9,88.9,12.0,14.0,14.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,901,901,Default,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:23,4,Charmander,-,♂,^_23₇₃⑬⑧⑫♂,23.0,23.0,606,83,3500,73.3,73.3,73.3,13.0,8.0,12.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,2861,2861,Default,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:26,4,Charmander,-,♂,^_25₇₈⑩⓯⑩♂,25.0,25.0,660,85,4000,77.8,77.8,77.8,10.0,15.0,10.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,958,958,Default,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:30,4,Charmander,-,♂,^_20₇₈⑪⑩⑭♂,20.0,20.0,528,78,2500,77.8,77.8,77.8,11.0,10.0,14.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,1169,1169,Default,,,1,0,0,0,590,1,0,?,2023-?-?
0,5/29/23 15:59:33,5,Charmeleon,-,♂,%㉓30₉₆⓯♂,30.0,30.0,1407,120,5000,95.6,95.6,95.6,15.0,14.0,14.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,2692,2692,3 Stars,,,1,0,0,0,593,1,0,?,2023-?-?
0,5/29/23 15:59:37,5,Charmeleon,-,♂,^_25₆₇⑩⑩⑩♂,25.0,25.0,1109,107,4000,66.7,66.7,66.7,10.0,10.0,10.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,1365,1365,Default,,,1,0,0,0,593,1,0,?,2022-01-15
0,5/29/23 15:59:40,5,Charmeleon Purified,-,♂,^_25₂₇⑤②⑤♂,25.0,25.0,1027,104,3600,26.7,26.7,26.7,5.0,2.0,5.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,2734,2734,Default,,,1,0,0,0,593,4,0,?,2023-?-?
0,5/29/23 15:59:44,5,Charmeleon Shadow,-,♂,¥1153e₄₄♂,8.0,8.0,328,61,960,44.4,44.4,44.4,0.0,7.0,13.0,1, - , - , - ,0.0, - , - ,Charizard,1153,1153,Charizard,421,421,Great League,,,1,0,0,0,593,2,0,?,2023-?-?
0,5/29/23 15:59:47,5,Charmeleon,-,♂,¥437e₆₄♂,5.0,5.0,202,48,600,64.4,64.4,64.4,0.0,14.0,15.0,1, - , - , - ,0.0, - , - ,Charizard,437,437,Charizard,18,18,Great League,,,1,0,0,0,593,1,0,?,2022-06-17
0,5/29/23 15:59:51,5,Charmeleon,-,♂,¢₁₆♂,1.0,1.0,19,14,200,15.6,15.6,15.6,4.0,0.0,3.0,1, - , - , - ,0.0, - , - ,Charizard,3903,3903,Charizard,2837,2837,Little League,,,1,0,0,0,593,1,0,?,2022-03-01
0,5/29/23 15:59:55,6,Charizard,-,♂,%⑳40₉₈⓯♂,40.0,40.0,2882,158,10000,97.8,97.8,97.8,15.0,15.0,14.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,3 Stars,,,1,0,0,0,596,1,0,?,2020-10-17
0,5/29/23 15:59:58,6,Charizard,-,♂,.40₉₁♂,40.0,40.0,2854,158,10000,91.1,91.1,91.1,14.0,12.0,15.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,lvl35+,,,1,0,0,0,596,1,0,?,2020-10-17
0,5/29/23 16:00:01,6,Charizard,-,♂,%⑳37₉₆⑭♂,37.0,37.0,2746,155,9000,95.6,95.6,95.6,14.0,14.0,15.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,3 Stars,,,1,0,0,0,596,1,0,?,2020-03-05
0,5/29/23 16:00:06,6,Charizard,-,♂,^_33₉₁⑭⑭⑬♂,33.0,33.0,2570,149,7000,91.1,91.1,91.1,14.0,14.0,13.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,596,1,0,?,2020-10-17
0,5/29/23 16:00:09,6,Charizard,-,♂,£3₅₆♂,35.5,35.5,2500,152,8000,55.6,55.6,55.6,0.0,12.0,13.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,3,3,Ultra League,,,1,0,0,0,596,1,0,?,2022-06-17
0,5/29/23 16:00:12,6,Charizard,-,♂,%⑳25₉₃⓯♂,25.0,25.0,2048,132,4000,93.3,93.3,93.3,15.0,14.0,13.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,1799,1799,3 Stars,,,1,0,0,0,596,1,0,?,2020-09-30
0,5/29/23 16:00:15,6,Charizard Purified,-,♂,^_25₈₂⑫⑩⓯♂,25.0,25.0,2010,134,3600,82.2,82.2,82.2,12.0,10.0,15.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,1552,1552,Default,,,1,0,0,0,596,4,0,?,2022-10-14
0,5/29/23 16:00:19,6,Charizard,-,♀,%㉑20₉₃⑫♀,20.0,20.0,1630,120,2500,93.3,93.3,93.3,12.0,15.0,15.0,1, - , - , - ,0.0, - , - , - , - , - ,Charizard,1150,1150,3 Stars,,,1,0,0,0,596,1,0,?,2021-12-18
0,5/29/23 16:00:22,6,Charizard,-,♂,¥34₅₈♂,18.0,18.0,1378,112,2200,57.8,57.8,57.8,0.0,14.0,12.0,1, - , - , - ,0.0, - , - ,Charizard,34,34,Charizard,84,84,Great League,,,1,0,0,0,596,1,0,?,2020-10-17
0,5/29/23 16:00:26,6,Charizard Shadow,-,♂,>$13₈₄⑩♂,13.0,13.0,1045,96,1920,84.4,84.4,84.4,10.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Charizard,718,718,Charizard,827,827,Shadow,,,1,0,0,0,596,2,0,?,2020-07-26
0,5/29/23 16:00:28,6,Charizard,-,♂,£69₄₇♂,1.5,1.5,77,26,200,46.7,46.7,46.7,1.0,13.0,7.0,1, - , - , - ,0.0, - , - ,Charizard,991,991,Charizard,69,69,Ultra League,,,1,0,0,0,596,7,0,?,2020-?-?
0,5/29/23 16:00:28,6,Charizard,-,♂,£69₄₇♂,9.0,9.0,677,77,1000,46.7,46.7,46.7,1.0,13.0,7.0,1, - , - , - ,0.0, - , - ,Charizard,991,991,Charizard,69,69,Ultra League,,,1,0,0,0,596,1,0,?,2020-10-17
0,5/29/23 16:00:31,6,Charizard,-,♂,¥32₅₈♂,5.0,5.0,362,56,600,57.8,57.8,57.8,2.0,14.0,10.0,1, - , - , - ,0.0, - , - ,Charizard,32,32,Charizard,51,51,Great League,,,1,0,0,0,596,1,0,?,2020-12-13
0,5/29/23 16:00:34,7,Squirtle,-,♂,%㉓26₉₃⓯♂,26.0,26.0,695,94,4000,93.3,93.3,93.3,15.0,15.0,12.0,1, - , - , - ,0.0, - , - ,Wartortle,1840,1840,Blastoise,2298,2298,3 Stars,,,1,0,0,0,599,1,0,?,2023-?-?
0,5/29/23 16:00:37,7,Squirtle Purified,-,♂,^_25₅₆⑦⑭④♂,25.0,25.0,599,87,3600,55.6,55.6,55.6,7.0,14.0,4.0,1, - , - , - ,0.0, - , - ,Wartortle,949,949,Blastoise,1177,1177,Default,,,1,0,0,0,599,4,0,?,2023-?-?
0,5/29/23 16:00:41,7,Squirtle,-,♂,¥1e₆₄♂,12.0,12.0,278,65,1300,64.4,64.4,64.4,0.0,14.0,15.0,1, - , - , - ,0.0,4,4,Wartortle,1,1,Blastoise,4,4,Great League,,,1,0,0,0,599,1,0,?,2023-?-?
0,5/29/23 16:00:44,7,Squirtle Shadow,-,♂,>$08₄₄⑨♂,8.0,8.0,187,51,960,44.4,44.4,44.4,9.0,0.0,11.0,1, - , - , - ,0.0,2277,2277,Blastoise,1524,1524,Blastoise,2659,2659,Shadow,,,1,0,0,0,599,2,0,?,2023-?-?
0,5/29/23 16:00:45,7,Squirtle,-,♂,^_30₅₁⑥④⑬♂,30.0,30.0,708,102,5000,51.1,51.1,51.1,6.0,4.0,13.0,1, - , - , - ,0.0, - , - ,Wartortle,780,780,Blastoise,921,921,Default,,,1,0,0,0,599,1,0,?,2023-?-?
0,5/29/23 16:00:48,7,Squirtle,-,♂,^_29₈₄⑬⑬⑫♂,29.0,29.0,755,99,5000,84.4,84.4,84.4,13.0,13.0,12.0,1, - , - , - ,0.0, - , - ,Wartortle,1411,1411,Blastoise,2399,2399,Default,,,1,0,0,0,599,1,0,?,2023-?-?
0,5/29/23 16:00:51,7,Squirtle,-,♂,^_29₃₈②⑪④♂,29.0,29.0,653,94,5000,37.8,37.8,37.8,2.0,11.0,4.0,1, - , - , - ,0.0, - , - ,Wartortle,2578,2578,Blastoise,420,420,Default,,,1,0,0,0,599,1,0,?,2023-?-?
0,5/29/23 16:00:55,7,Squirtle,-,♂,^_20₇₆⑪⑫⑪♂,20.0,20.0,507,82,2500,75.6,75.6,75.6,11.0,12.0,11.0,1, - , - , - ,0.0, - , - ,Wartortle,1078,1078,Blastoise,1555,1555,Default,,,1,0,0,0,599,1,0,?,2020-11-03
0,5/29/23 16:00:58,7,Squirtle,-,♂,^_20₆₉⑩⑪⑩♂,20.0,20.0,499,81,2500,68.9,68.9,68.9,10.0,11.0,10.0,1, - , - , - ,0.0,1699,1699,Wartortle,1133,1133,Blastoise,1372,1372,Default,,,1,0,0,0,599,1,0,?,2020-11-01
0,5/29/23 16:01:01,8,Wartortle Purified,-,♂,^_25₅₃⑫⑧④♂,25.0,25.0,984,104,3600,53.3,53.3,53.3,12.0,8.0,4.0,1, - , - , - ,0.0, - , - ,Wartortle,2613,2613,Blastoise,3294,3294,Default,,,1,0,0,0,602,4,0,?,2023-?-?
0,5/29/23 16:01:04,8,Wartortle,-,♂,£39e₅₁♂,22.0,22.0,822,103,3000,51.1,51.1,51.1,1.0,10.0,12.0,1, - , - , - ,0.0, - , - ,Wartortle,387,387,Blastoise,39,39,Ultra League,,,1,0,0,0,602,1,0,?,2023-?-?
0,5/29/23 16:01:12,8,Wartortle,-,♂,¥33₇₁♂,19.0,19.0,736,97,2500,71.1,71.1,71.1,3.0,14.0,15.0,1, - , - , - ,0.0, - , - ,Wartortle,33,33,Blastoise,42,42,Great League,,,1,0,0,0,602,1,0,?,2021-08-20
0,5/29/23 16:01:15,8,Wartortle,-,♀,%㉒15₉₆⓯♀,15.0,15.0,634,86,1900,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Wartortle,1621,1621,Blastoise,2545,2545,3 Stars,,,1,0,0,0,602,1,0,?,2022-06-28
0,5/29/23 16:01:18,8,Wartortle Shadow,-,♂,>$08₅₆⑬♂,8.0,8.0,313,59,960,55.6,55.6,55.6,13.0,7.0,5.0,1, - , - , - ,0.0, - , - ,Wartortle,2942,2942,Blastoise,3230,3230,Shadow,,,1,0,0,0,602,2,0,?,2023-?-?
0,5/29/23 16:01:19,8,Wartortle,-,♂,¢141e₄₀♂,2.0,2.0,57,26,200,40.0,40.0,40.0,2.0,7.0,9.0,1, - , - , - ,0.0, - , - ,Blastoise,523,523,Blastoise,412,412,Little League,,,1,0,0,0,602,1,0,?,2023-?-?
0,5/29/23 16:01:23,8,Wartortle,-,♂,¥106e₄₄♂,1.0,1.0,18,15,200,44.4,44.4,44.4,1.0,6.0,13.0,1, - , - , - ,0.0, - , - ,Blastoise,106,106,Blastoise,156,156,Great League,,,1,0,0,0,602,1,0,?,2021-?-?
0,5/29/23 16:01:26,9,Blastoise,-,♂,%㉓25₉₃⑭♂,25.0,25.0,1743,134,4000,93.3,93.3,93.3,14.0,15.0,13.0,1, - , - , - ,0.0, - , - , - , - , - ,Blastoise,2214,2214,3 Stars,,,1,0,0,0,605,1,0,?,2023-?-?
0,5/29/23 16:01:30,9,Blastoise Purified,-,♂,^_25₅₁③⑥⑭♂,25.0,25.0,1610,134,3600,51.1,51.1,51.1,3.0,6.0,14.0,1, - , - , - ,0.0, - , - , - , - , - ,Blastoise,652,652,Default,,,1,0,0,0,605,4,0,?,2022-10-11
0,5/29/23 16:01:34,9,Blastoise,-,♂,¥15₆₄♂,23.0,23.0,1491,130,3500,64.4,64.4,64.4,1.0,13.0,15.0,1, - , - , - ,0.0, - , - ,Blastoise,15,15,Blastoise,22,22,Great League,,,1,0,0,0,605,1,0,?,2021-02-20
0,5/29/23 16:01:37,9,Blastoise,-,♂,£72₅₆♂,13.0,13.0,832,96,1600,55.6,55.6,55.6,0.0,12.0,13.0,1, - , - , - ,0.0, - , - ,Blastoise,634,634,Blastoise,72,72,Ultra League,,,1,0,0,0,605,1,0,?,2023-?-?
0,5/29/23 16:01:40,9,Blastoise Shadow,-,♂,>$08₆₇⑭♂,8.0,8.0,534,72,960,66.7,66.7,66.7,14.0,12.0,4.0,1, - , - , - ,0.0, - , - ,Blastoise,2948,2948,Blastoise,3441,3441,Shadow,,,1,0,0,0,605,2,0,?,2023-?-?
0,5/29/23 16:01:41,10,Caterpie,-,♂,¢₉₁♂,19.0,19.0,229,82,2500,91.1,91.1,91.1,14.0,13.0,14.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Little League,,,1,0,0,0,9,1,0,?,2023-?-?
0,5/29/23 16:01:44,10,Caterpie,-,♀,^_09₆₉⑧⓯⑧♀,9.0,9.0,98,54,1000,68.9,68.9,68.9,8.0,15.0,8.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,9,1,0,?,2023-?-?
0,5/29/23 16:01:46,10,Caterpie,-,♂,^_04₄₇⑤⑦⑨♂,4.0,4.0,36,35,400,46.7,46.7,46.7,5.0,7.0,9.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,9,1,0,?,2023-?-?
0,5/29/23 16:01:48,11,Metapod,-,♂,¢₉₃♂,23.0,23.0,292,95,3500,93.3,93.3,93.3,15.0,15.0,12.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Little League,,,1,0,0,0,10,1,0,?,2020-06-26
0,5/29/23 16:01:49,11,Metapod,-,♂,¢₈₄♂,23.0,23.0,284,97,3500,84.4,84.4,84.4,15.0,8.0,15.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Little League,,,1,0,0,0,10,1,0,?,2023-?-?
0,5/29/23 16:01:51,12,Butterfree,-,♂,%㉓26₉₆⓯♂,26.0,26.0,1348,115,4000,95.6,95.6,95.6,15.0,13.0,15.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,3 Stars,,,1,0,0,0,11,1,0,?,2023-?-?
0,5/29/23 16:01:53,12,Butterfree,-,♀,¥₆₄♀,28.0,28.0,1341,119,4500,64.4,64.4,64.4,1.0,14.0,14.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Great League,,,1,0,0,0,11,1,0,?,2020-06-08
0,5/29/23 16:01:54,12,Butterfree,-,♀,^_21₉₁⑭⑬⑭♀,21.0,21.0,1079,103,3000,91.1,91.1,91.1,14.0,13.0,14.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,11,1,0,?,2023-?-?
0,5/29/23 16:01:56,12,Butterfree,-,♀,^_05₅₁⑦⑪⑤♀,5.0,5.0,225,46,600,51.1,51.1,51.1,7.0,11.0,5.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,11,1,0,?,2023-?-?
0,5/29/23 16:01:59,12,Butterfree,-,♂,¢₃₁♂,3.0,3.0,118,34,400,31.1,31.1,31.1,0.0,8.0,6.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Little League,,,1,0,0,0,11,1,0,?,2022-01-17
0,5/29/23 16:02:00,12,Butterfree,-,♂,^_30₈₇⓯⑬⑪♂,30.0,30.0,1537,121,5000,86.7,86.7,86.7,15.0,13.0,11.0,1, - , - , - ,0.0, - , - , - , - , - , - , - , - ,Default,,,1,0,0,0,11,1,0,?,2021-09-22
0,5/29/23 16:02:01,13,Weedle,-,♀,¢₉₆♀,27.0,27.0,344,93,4500,95.6,95.6,95.6,14.0,14.0,15.0,1, - , - , - ,0.0, - , - ,Beedrill,2255,2255, - , - , - ,Little League,,,1,0,0,0,948,1,0,?,2023-?-?
0,5/29/23 16:02:03,13,Weedle,-,♀,¢₉₃♀,27.0,27.0,340,93,4500,93.3,93.3,93.3,13.0,14.0,15.0,1, - , - , - ,0.0, - , - ,Beedrill,2676,2676, - , - , - ,Little League,,,1,0,0,0,948,1,0,?,2020-12-29
0,5/29/23 16:02:04,13,Weedle,-,♀,^_15₆₇⑧⑦⓯♀,15.0,15.0,166,69,1900,66.7,66.7,66.7,8.0,7.0,15.0,1, - , - , - ,0.0, - , - ,Beedrill,1652,1652, - , - , - ,Default,,,1,0,0,0,948,1,0,?,2023-?-?
0,5/29/23 16:02:05,13,Weedle Shadow,-,♀,>$13₆₉⑬♀,13.0,13.0,154,61,1920,68.9,68.9,68.9,13.0,10.0,8.0,1, - , - , - ,0.0, - , - ,Beedrill,3349,3349, - , - , - ,Shadow,,,1,0,0,0,948,2,0,?,2023-?-?
0,5/29/23 16:02:21,13,Weedle,-,♀,^_03₆₀⑫①⑭♀,3.0,3.0,28,28,400,60.0,60.0,60.0,12.0,1.0,14.0,1, - , - , - ,0.0, - , - ,Beedrill,2756,2756, - , - , - ,Default,,,1,0,0,0,948,1,0,?,2023-?-?
0,5/29/23 16:02:24,13,Weedle,-,♂,^_03₄₇⑥⑩⑤♂,3.0,3.0,27,26,400,46.7,46.7,46.7,6.0,10.0,5.0,1, - , - , - ,0.0, - , - ,Beedrill,1355,1355, - , - , - ,Default,,,1,0,0,0,948,1,0,?,2023-?-?
